     Row  Symbol          a1          a2          a3          a4          b1          b2          b3          b4           c
       1    h       0.493002    0.322912    0.140191    0.040810   10.510900   26.125700    3.142360   57.799698    0.003038
       2    h-1     0.897661    0.565616    0.415815    0.116973   53.136799   15.187000  186.575989    3.567090    0.002389
       3    he      0.873400    0.630900    0.311200    0.178000    9.103700    3.356800   22.927601    0.982100    0.006400
       4    li      1.128200    0.750800    0.617500    0.465300    3.954600    1.052400   85.390503  168.261002    0.037700
       5    li+1    0.696800    0.788800    0.341400    0.156300    4.623700    1.955700    0.631600   10.095300    0.016700
       6    be      1.591900    1.127800    0.539100    0.702900   43.642700    1.862300  103.483002    0.542000    0.038500
       7    be+2    6.260300    0.884900    0.799300    0.164700    0.002700    0.831300    2.275800    5.114600   -6.109200
       8    b       2.054500    1.332600    1.097900    0.706800   23.218500    1.021000   60.349800    0.140300   -0.193200
       9    c       2.310000    1.020000    1.588600    0.865000   20.843899   10.207500    0.568700   51.651199    0.215600
      10    cv      2.260690    1.561650    1.050750    0.839259   22.690701    0.656665    9.756180   55.594898    0.286977
      11    n      12.212600    3.132200    2.012500    1.166300    0.005700    9.893300   28.997499    0.582600  -11.528999
      12    o       3.048500    2.286800    1.546300    0.867000   13.277100    5.701100    0.323900   32.908897    0.250800
      13    o-1     4.191600    1.639690    1.526730  -20.306999   12.857300    4.172360   47.017899   -0.014040   21.941200
      14    f       3.539200    2.641200    1.517000    1.024300   10.282499    4.294400    0.261500   26.147600    0.277600
      15    f-1     3.632200    3.510570    1.260640    0.940706    5.277560   14.735300    0.442258   47.343700    0.653396
      16    ne      3.955300    3.112500    1.454600    1.125100    8.404200    3.426200    0.230600   21.718399    0.351500
      17    na      4.762600    3.173600    1.267400    1.112800    3.285000    8.842199    0.313600  129.423996    0.676000
      18    na+1    3.256500    3.936200    1.399800    1.003200    2.667100    6.115300    0.200100   14.039000    0.404000
      19    mg      5.420400    2.173500    1.226900    2.307300    2.827500   79.261101    0.380800    7.193700    0.858400
      20    mg+2    3.498800    3.837800    1.328400    0.849700    2.167600    4.754200    0.185000   10.141100    0.485300
      21    al      6.420200    1.900200    1.593600    1.964600    3.038700    0.742600   31.547199   85.088600    1.115100
      22    al+3    4.174480    3.387600    1.202960    0.528137    1.938160    4.145530    0.228753    8.285240    0.706786
      23    si      6.291500    3.035300    1.989100    1.541000    2.438600   32.333698    0.678500   81.693695    1.140700
      24    siv     5.662690    3.071640    2.624460    1.393200    2.665200   38.663399    0.916946   93.545799    1.247070
      25    si+4    4.439180    3.203450    1.194530    0.416530    1.641670    3.437570    0.214900    6.653650    0.746297
      26    p       6.434500    4.179100    1.780000    1.490800    1.906700   27.157000    0.526000   68.164497    1.114900
      27    s       6.905300    5.203400    1.437900    1.586300    1.467900   22.215099    0.253600   56.172001    0.866900
      28    cl     11.460400    7.196400    6.255600    1.645500    0.010400    1.166200   18.519400   47.778400   -9.557400
      29    cl-1   18.291500    7.208400    6.533700    2.338600    0.006600    1.171700   19.542400   60.448601  -16.378000
      30    ar      7.484500    6.772300    0.653900    1.644200    0.907200   14.840700   43.898300   33.392899    1.444500
      31    k       8.218599    7.439800    1.051900    0.865900   12.794900    0.774800  213.186996   41.684097    1.422800
      32    k+1     7.957800    7.491700    6.359000    1.191500   12.633100    0.767400   -0.002000   31.912800   -4.997800
      33    ca      8.626600    7.387300    1.589900    1.021100   10.442100    0.659900   85.748398  178.436996    1.375100
      34    ca+2   15.634800    7.951800    8.437200    0.853700   -0.007400    0.608900   10.311600   25.990499  -14.875000
      35    sc      9.189000    7.367900    1.640900    1.468000    9.021299    0.572900  136.108002   51.353100    1.332900
      36    sc+3   14.400800    8.027300    1.659430    1.579360    0.298540    7.962900   -0.286040   16.066200   -6.666700
      37    ti      9.759500    7.355800    1.699100    1.902100    7.850800    0.500000   35.633801  116.104996    1.280700
      38    ti+2    9.114230    7.621740    2.279300    0.087899    7.524300    0.457585   19.536100   61.655800    0.897155
      39    ti+3   17.734400    8.738160    5.256910    1.921340    0.220610    7.047160   -0.157620   15.976800  -14.652000
      40    ti+4   19.511400    8.234730    2.013410    1.520800    0.178847    6.670180   -0.292630   12.946400  -13.280000
      41    v      10.297100    7.351100    2.070300    2.057100    6.865700    0.438500   26.893799  102.477997    1.219900
      42    v+2    10.106000    7.354100    2.288400    0.022300    6.881800    0.440900   20.300400  115.122002    1.229800
      43    v+3     9.431410    7.741900    2.153430    0.016865    6.395350    0.383349   15.190800   63.969002    0.656565
      44    v+5    15.688700    8.142080    2.030810   -9.576000    0.679003    5.401350    9.972780    0.940464    1.714300
      45    cr     10.640600    7.353700    3.324000    1.492200    6.103800    0.392000   20.262600   98.739899    1.183200
      46    cr+2    9.540340    7.750900    3.582740    0.509107    5.660780    0.344261   13.307500   32.422401    0.616898
      47    cr+3    9.680900    7.811360    2.876030    0.113575    5.594630    0.334393   12.828800   32.876099    0.518275
      48    mn     11.281900    7.357300    3.019300    2.244100    5.340900    0.343200   17.867399   83.754303    1.089600
      49    mn+2   10.806100    7.362000    3.526800    0.218400    5.279600    0.343500   14.343000   41.323502    1.087400
      50    mn+3    9.845210    7.871940    3.565310    0.323613    4.917970    0.294393   10.817100   24.128099    0.393974
      51    mn+4    9.962530    7.970570    2.760670    0.054447    4.848500    0.283303   10.485200   27.573000    0.251877
